channel,F,p,q_fdr,significant
AF3,4.622549150154903,0.0526422000013389,0.5831682825388097,False
AF4,0.21325740708050508,0.6524858220133085,0.785194802761778,False
AF7,1.6140747402893285,0.22799944728285088,0.7309603039316432,False
AF8,0.0027406546670762657,0.9591102029345405,0.9843123418668566,False
AFZ,0.5390418157530961,0.47693165935262327,0.7642653406980418,False
C1,0.2269578417655316,0.6423457328818395,0.785194802761778,False
C2,3.2547203728555223,0.09635979323917639,0.6670355089640925,False
C3,2.806519217482391e-05,0.9958601514276519,0.9958601514276519,False
C4,0.001430769468288613,0.9704487877560558,0.9843123418668566,False
C5,1.0447589027306066,0.32688210027345405,0.7309603039316432,False
C6,0.539952547646618,0.4765676387459793,0.7642653406980418,False
CP1,0.041455064303392755,0.8420739303784457,0.9086161131522162,False
CP2,1.1553388443895984,0.30357183803570864,0.7309603039316432,False
CP3,0.08420393396245197,0.7766326467166609,0.8797892690357908,False
CP4,0.10603940803652995,0.7503070898490802,0.8733082521194213,False
CP5,0.38849076391715676,0.5447585894788787,0.785194802761778,False
CP6,1.8130653477161678,0.203023537586742,0.7309603039316432,False
CPZ,0.04010508710423686,0.8446290629302292,0.9086161131522162,False
CZ,2.2681849519266435,0.15791685997068894,0.6867317282750739,False
F1,0.1337392307256189,0.7209514666660006,0.8531259022214341,False
F10,0.017679719186241904,0.8964246607812872,0.9359728075804618,False
F2,0.2191240381280107,0.6480959687678045,0.785194802761778,False
F3,1.724978272289424,0.21361201500397636,0.7309603039316432,False
F4,0.8844984217658822,0.36551959253734784,0.747867941400925,False
F5,1.3282755239582367,0.2715547424713867,0.7309603039316432,False
F6,2.3668831241115864,0.1498759645037778,0.6867317282750739,False
F7,0.4791809214660125,0.5019690969974073,0.7746216462515614,False
F8,0.08110698980734551,0.7806580837923215,0.8797892690357908,False
F9,1.325416941612155,0.27204515697220627,0.7309603039316432,False
FC1,0.2734334588039192,0.6105570913127004,0.785194802761778,False
FC2,0.3582442968010482,0.5606112949154775,0.785194802761778,False
FC3,1.4133558117844638,0.25749432256747584,0.7309603039316432,False
FC4,0.6470399870805797,0.4368194759408181,0.7564434827267825,False
FC5,0.9697632260036477,0.3441787900497422,0.7405058816221727,False
FC6,12.74120551061795,0.0038560568827267884,0.27378003867360196,False
FCZ,0.5723634519700226,0.4639160965633832,0.7642653406980418,False
Fp1,3.8327645308713723,0.0739227400401308,0.5831682825388097,False
Fp2,0.04340823125843938,0.8384528964177116,0.9086161131522162,False
FPZ,0.22076267486417187,0.6468827778621205,0.785194802761778,False
FT10,4.476350990992411,0.055957602572798894,0.5831682825388097,False
FT7,0.2697852173478802,0.6129219493966914,0.785194802761778,False
FT8,3.853234247248425,0.07325225830876435,0.5831682825388097,False
FT9,0.5206345382633425,0.48439352579453354,0.7642653406980418,False
FZ,0.8409528756220963,0.3771865708558323,0.747867941400925,False
O1,1.08465767580184,0.31818674036994327,0.7309603039316432,False
O2,0.3694115239712756,0.5546537040178408,0.785194802761778,False
OZ,5.184387641105239,0.04191049207868503,0.5831682825388097,False
P1,2.1775955091491292,0.1657843665594587,0.6867317282750739,False
P10,0.2723571103135785,0.6112526763192279,0.785194802761778,False
P2,1.1096799604580372,0.31290103293714816,0.7309603039316432,False
P3,0.23975448739429345,0.6332121902341239,0.785194802761778,False
P4,1.313808240492418,0.2740492525060432,0.7309603039316432,False
P5,1.0332799385453288,0.3294468975466561,0.7309603039316432,False
P6,4.87636476205676,0.047429305216110815,0.5831682825388097,False
P9,0.4549525188010095,0.5127777094904702,0.7746216462515614,False
PO3,2.087603624021134,0.17410100153452576,0.6867317282750739,False
PO4,1.0868628391785649,0.317715837393107,0.7309603039316432,False
PO7,2.469428934943408,0.14206116500803945,0.6867317282750739,False
PO8,4.241692667713711,0.06182143059511341,0.5831682825388097,False
POZ,7.655191534299713,0.017062740866007967,0.5831682825388097,False
PZ,0.7262071561829678,0.41080070020614196,0.747867941400925,False
T10,0.669937923016479,0.42902804184917437,0.7564434827267825,False
T3,0.2918145638440048,0.5989427076111782,0.785194802761778,False
T4,1.5150752572834834,0.2419470934683938,0.7309603039316432,False
T5,0.7918881267777125,0.391021232648356,0.747867941400925,False
T6,2.4821390152211498,0.14112861822033726,0.6867317282750739,False
T9,0.7473903492312396,0.40425441153706204,0.747867941400925,False
TP10,2.9283247249400084,0.11273839588125506,0.6670355089640925,False
TP7,0.8159061419950953,0.38415394418021187,0.747867941400925,False
TP8,2.9465976627751007,0.11173475888308465,0.6670355089640925,False
TP9,0.025338824973117128,0.8761734308492246,0.9284822923924619,False
