# channel,mean_abs
# window=0.25-0.6s, indices=112-199, samples=88
channel,mean_abs
Fp1,1.1610983375797426e-06
Fp2,6.645309088457171e-07
F3,5.159059069558795e-07
F4,4.4830836130236896e-07
C3,9.274012243493202e-07
C4,9.257843270626155e-07
P3,7.025563412068199e-07
P4,1.124469912264061e-07
O1,5.451666653943109e-07
O2,5.499812603756537e-07
F7,5.964657190874625e-07
F8,4.92385047679552e-07
T3,3.897885162910995e-07
T4,3.333162224999695e-07
T5,7.74022802588613e-07
T6,5.94344730114873e-07
FZ,5.445530870708172e-07
CZ,8.102512294564574e-07
PZ,9.873429045711717e-07
F9,2.444485950654241e-07
F10,5.064226907598956e-07
T9,1.4864119904259074e-06
T10,5.780631458746427e-07
P9,7.617697124908966e-07
P10,5.260436486577406e-07
AF7,6.682674553902197e-07
AF3,6.672320619392157e-07
F5,6.614096914241848e-07
F1,6.488070027040958e-07
FT9,1.6014560627930106e-06
FT7,6.963518532438414e-07
FC5,7.215374641954426e-07
FC3,7.011752217546909e-07
FC1,7.26516259373553e-07
FCZ,6.984206669507175e-07
C5,9.768457053437942e-07
C1,7.631908813584721e-07
TP9,9.714187309558063e-07
TP7,1.3207412435662516e-06
CP3,6.807226572532942e-07
CP1,6.802916242389275e-07
P5,7.84350481122125e-07
P1,8.80638272444013e-07
PO7,9.045271459278625e-07
PO3,9.135130942622482e-07
POZ,8.171457255749722e-07
OZ,9.300869612169972e-07
FPZ,6.994168952732956e-07
AFZ,6.428198744361627e-07
AF4,6.940179575755025e-07
AF8,8.710354380790428e-07
F2,7.761065508406407e-07
F6,9.57014234664006e-07
FC2,7.050042160913996e-07
FC4,7.604501853772653e-07
FC6,8.146501636281527e-07
FT8,7.970734645962745e-07
FT10,9.109783186106283e-07
C6,7.988975174349578e-07
C2,9.327393338096684e-07
CPZ,1.0624684341860976e-06
CP2,7.611443016206193e-07
CP4,1.1276725626816223e-06
CP6,7.108778521888298e-07
TP8,7.157743239422327e-07
TP10,7.399841755033905e-07
P2,9.635754876225653e-07
P6,1.023835155029028e-06
PO4,7.161989275377255e-07
PO8,7.544961561690543e-07
CP5,7.369972678515382e-07
