time_index,time_s
0,-0.2
1,-0.19597989949748745
2,-0.1919597989949749
3,-0.1879396984924623
4,-0.18391959798994975
5,-0.1798994974874372
6,-0.17587939698492464
7,-0.17185929648241208
8,-0.1678391959798995
9,-0.16381909547738693
10,-0.15979899497487438
11,-0.15577889447236182
12,-0.15175879396984926
13,-0.1477386934673367
14,-0.14371859296482414
15,-0.13969849246231156
16,-0.135678391959799
17,-0.13165829145728644
18,-0.12763819095477386
19,-0.12361809045226131
20,-0.11959798994974874
21,-0.11557788944723618
22,-0.11155778894472362
23,-0.10753768844221105
24,-0.1035175879396985
25,-0.09949748743718594
26,-0.09547738693467336
27,-0.0914572864321608
28,-0.08743718592964825
29,-0.08341708542713568
30,-0.07939698492462312
31,-0.07537688442211055
32,-0.07135678391959799
33,-0.06733668341708543
34,-0.06331658291457287
35,-0.059296482412060286
36,-0.05527638190954773
37,-0.05125628140703517
38,-0.04723618090452261
39,-0.043216080402010054
40,-0.03919597989949747
41,-0.03517587939698491
42,-0.031155778894472352
43,-0.027135678391959794
44,-0.023115577889447236
45,-0.01909547738693468
46,-0.015075376884422093
47,-0.011055276381909535
48,-0.0070351758793969765
49,-0.0030150753768844185
50,0.0010050251256281395
51,0.005025125628140725
52,0.009045226130653283
53,0.013065326633165841
54,0.0170854271356784
55,0.021105527638190957
56,0.025125628140703515
57,0.0291457286432161
58,0.03316582914572866
59,0.03718592964824122
60,0.041206030150753775
61,0.04522613065326633
62,0.04924623115577892
63,0.05326633165829148
64,0.057286432160804035
65,0.06130653266331659
66,0.06532663316582915
67,0.06934673366834171
68,0.07336683417085427
69,0.07738693467336683
70,0.08140703517587944
71,0.085427135678392
72,0.08944723618090455
73,0.09346733668341711
74,0.09748743718592967
75,0.10150753768844223
76,0.10552763819095479
77,0.10954773869346734
78,0.1135678391959799
79,0.11758793969849246
80,0.12160804020100507
81,0.12562814070351763
82,0.1296482412060302
83,0.13366834170854275
84,0.1376884422110553
85,0.14170854271356786
86,0.14572864321608042
87,0.14974874371859298
88,0.15376884422110554
89,0.1577889447236181
90,0.16180904522613065
91,0.16582914572864327
92,0.16984924623115583
93,0.17386934673366838
94,0.17788944723618094
95,0.1819095477386935
96,0.18592964824120606
97,0.18994974874371862
98,0.19396984924623117
99,0.19798994974874373
100,0.2020100502512563
101,0.20603015075376885
102,0.21005025125628146
103,0.21407035175879402
104,0.21809045226130658
105,0.22211055276381914
106,0.2261306532663317
107,0.23015075376884425
108,0.2341708542713568
109,0.23819095477386937
110,0.24221105527638193
111,0.24623115577889448
112,0.25025125628140704
113,0.25427135678391966
114,0.2582914572864322
115,0.26231155778894477
116,0.26633165829145733
117,0.2703517587939699
118,0.27437185929648245
119,0.278391959798995
120,0.28241206030150756
121,0.2864321608040201
122,0.2904522613065327
123,0.2944723618090453
124,0.29849246231155785
125,0.3025125628140704
126,0.30653266331658297
127,0.3105527638190955
128,0.3145728643216081
129,0.31859296482412064
130,0.3226130653266332
131,0.32663316582914576
132,0.3306532663316583
133,0.33467336683417087
134,0.33869346733668343
135,0.342713567839196
136,0.34673366834170855
137,0.3507537688442211
138,0.35477386934673366
139,0.35879396984924633
140,0.3628140703517589
141,0.36683417085427145
142,0.370854271356784
143,0.37487437185929656
144,0.3788944723618091
145,0.3829145728643217
146,0.38693467336683424
147,0.3909547738693468
148,0.39497487437185935
149,0.3989949748743719
150,0.40301507537688447
151,0.407035175879397
152,0.4110552763819096
153,0.41507537688442214
154,0.4190954773869347
155,0.42311557788944726
156,0.4271356783919598
157,0.4311557788944724
158,0.43517587939698493
159,0.4391959798994975
160,0.44321608040201016
161,0.4472361809045227
162,0.4512562814070353
163,0.45527638190954783
164,0.4592964824120604
165,0.46331658291457295
166,0.4673366834170855
167,0.47135678391959807
168,0.4753768844221106
169,0.4793969849246232
170,0.48341708542713574
171,0.4874371859296483
172,0.49145728643216086
173,0.4954773869346734
174,0.49949748743718597
175,0.5035175879396985
176,0.5075376884422111
177,0.5115577889447236
178,0.5155778894472363
179,0.5195979899497487
180,0.5236180904522614
181,0.5276381909547738
182,0.5316582914572865
183,0.5356783919597992
184,0.5396984924623116
185,0.5437185929648243
186,0.5477386934673367
187,0.5517587939698494
188,0.5557788944723618
189,0.5597989949748745
190,0.563819095477387
191,0.5678391959798996
192,0.5718592964824121
193,0.5758793969849247
194,0.5798994974874372
195,0.5839195979899499
196,0.5879396984924623
197,0.591959798994975
198,0.5959798994974874
199,0.6
